date,close,volume,pe_ratio,eps,beta
2024-06-20 00:00:00-04:00,679.030029296875,2585100,57.791492,21.15,1.589
2024-06-21 00:00:00-04:00,686.1199951171875,4557100,57.791492,21.15,1.589
2024-06-24 00:00:00-04:00,669.02001953125,3916300,57.791492,21.15,1.589
2024-06-25 00:00:00-04:00,672.4099731445312,2278800,57.791492,21.15,1.589
2024-06-26 00:00:00-04:00,677.6900024414062,3545800,57.791492,21.15,1.589
2024-06-27 00:00:00-04:00,684.3400268554688,2404800,57.791492,21.15,1.589
2024-06-28 00:00:00-04:00,674.8800048828125,3412400,57.791492,21.15,1.589
2024-07-01 00:00:00-04:00,673.6099853515625,2212800,57.791492,21.15,1.589
2024-07-02 00:00:00-04:00,679.5800170898438,2411400,57.791492,21.15,1.589
2024-07-03 00:00:00-04:00,682.510009765625,1403500,57.791492,21.15,1.589
2024-07-05 00:00:00-04:00,690.6500244140625,2659100,57.791492,21.15,1.589
2024-07-08 00:00:00-04:00,685.739990234375,1930800,57.791492,21.15,1.589
2024-07-09 00:00:00-04:00,685.739990234375,2596100,57.791492,21.15,1.589
2024-07-10 00:00:00-04:00,677.6500244140625,2651900,57.791492,21.15,1.589
2024-07-11 00:00:00-04:00,652.75,5106600,57.791492,21.15,1.589
2024-07-12 00:00:00-04:00,647.5999755859375,3355200,57.791492,21.15,1.589
2024-07-15 00:00:00-04:00,656.4500122070312,3208800,57.791492,21.15,1.589
2024-07-16 00:00:00-04:00,656.3200073242188,2685700,57.791492,21.15,1.589
2024-07-17 00:00:00-04:00,647.4600219726562,4017300,57.791492,21.15,1.589
2024-07-18 00:00:00-04:00,643.0399780273438,7575800,57.791492,21.15,1.589
2024-07-19 00:00:00-04:00,633.3400268554688,9815600,57.791492,21.15,1.589
2024-07-22 00:00:00-04:00,647.5,5219100,57.791492,21.15,1.589
2024-07-23 00:00:00-04:00,642.760009765625,2463600,57.791492,21.15,1.589
2024-07-24 00:00:00-04:00,635.989990234375,4888200,57.791492,21.15,1.589
2024-07-25 00:00:00-04:00,634.0900268554688,4554500,57.791492,21.15,1.589
2024-07-26 00:00:00-04:00,631.3699951171875,3120700,57.791492,21.15,1.589
2024-07-29 00:00:00-04:00,626.9600219726562,2400500,57.791492,21.15,1.589
2024-07-30 00:00:00-04:00,622.5800170898438,3496600,57.791492,21.15,1.589
2024-07-31 00:00:00-04:00,628.3499755859375,3134900,57.791492,21.15,1.589
2024-08-01 00:00:00-04:00,624.8499755859375,3720600,57.791492,21.15,1.589
2024-08-02 00:00:00-04:00,613.6400146484375,3523000,57.791492,21.15,1.589
2024-08-05 00:00:00-04:00,598.5499877929688,4044200,57.791492,21.15,1.589
2024-08-06 00:00:00-04:00,609.5700073242188,4319100,57.791492,21.15,1.589
2024-08-07 00:00:00-04:00,611.47998046875,3187800,57.791492,21.15,1.589
2024-08-08 00:00:00-04:00,630.3499755859375,3283500,57.791492,21.15,1.589
2024-08-09 00:00:00-04:00,633.9400024414062,1980800,57.791492,21.15,1.589
2024-08-12 00:00:00-04:00,633.1400146484375,2331700,57.791492,21.15,1.589
2024-08-13 00:00:00-04:00,648.02001953125,2639600,57.791492,21.15,1.589
2024-08-14 00:00:00-04:00,661.6799926757812,4014300,57.791492,21.15,1.589
2024-08-15 00:00:00-04:00,663.219970703125,3210200,57.791492,21.15,1.589
2024-08-16 00:00:00-04:00,674.0700073242188,3511000,57.791492,21.15,1.589
2024-08-19 00:00:00-04:00,688.530029296875,3016200,57.791492,21.15,1.589
2024-08-20 00:00:00-04:00,698.5399780273438,4813100,57.791492,21.15,1.589
2024-08-21 00:00:00-04:00,697.1199951171875,2235300,57.791492,21.15,1.589
2024-08-22 00:00:00-04:00,688.9600219726562,2729400,57.791492,21.15,1.589
2024-08-23 00:00:00-04:00,686.72998046875,2354500,57.791492,21.15,1.589
2024-08-26 00:00:00-04:00,688.4400024414062,1354200,57.791492,21.15,1.589
2024-08-27 00:00:00-04:00,695.719970703125,3164900,57.791492,21.15,1.589
2024-08-28 00:00:00-04:00,683.8400268554688,2430600,57.791492,21.15,1.589
