date,close,volume,sharesOutstanding,freeCashFlow,totalDebt,cashAndCashEquivalents,symbol
2020-09-28,111.82364654541016,137672400,17352119000.0,73365000000.0,122278000000.0,38016000000.0,AAPL
2020-09-29,110.97736358642578,99382200,17352119000.0,73365000000.0,122278000000.0,38016000000.0,AAPL
2020-09-30,112.65044403076172,142675200,17352119000.0,73365000000.0,122278000000.0,38016000000.0,AAPL
2020-10-01,113.60372161865234,116120400,17352119000.0,73365000000.0,122278000000.0,38016000000.0,AAPL
2020-10-02,109.9365692138672,144712000,17352119000.0,73365000000.0,122278000000.0,38016000000.0,AAPL
2020-10-05,113.32161712646484,106243800,17352119000.0,73365000000.0,122278000000.0,38016000000.0,AAPL
2020-10-06,110.07276153564452,161498200,17352119000.0,73365000000.0,122278000000.0,38016000000.0,AAPL
2020-10-07,111.94035339355467,96849000,17352119000.0,73365000000.0,122278000000.0,38016000000.0,AAPL
2020-10-08,111.83335876464844,83477200,17352119000.0,73365000000.0,122278000000.0,38016000000.0,AAPL
2020-10-09,113.77880859375,100506900,17352119000.0,73365000000.0,122278000000.0,38016000000.0,AAPL
2020-10-12,121.00611114501952,240226800,17352119000.0,73365000000.0,122278000000.0,38016000000.0,AAPL
2020-10-13,117.79612731933594,262330500,17352119000.0,73365000000.0,122278000000.0,38016000000.0,AAPL
2020-10-14,117.88365173339844,150712000,17352119000.0,73365000000.0,122278000000.0,38016000000.0,AAPL
2020-10-15,117.41675567626952,112559200,17352119000.0,73365000000.0,122278000000.0,38016000000.0,AAPL
2020-10-16,115.7728500366211,115393800,17352119000.0,73365000000.0,122278000000.0,38016000000.0,AAPL
2020-10-19,112.81581115722656,120639300,17352119000.0,73365000000.0,122278000000.0,38016000000.0,AAPL
2020-10-20,114.30406188964844,124423700,17352119000.0,73365000000.0,122278000000.0,38016000000.0,AAPL
2020-10-21,113.68151092529295,89946000,17352119000.0,73365000000.0,122278000000.0,38016000000.0,AAPL
2020-10-22,112.59207916259766,101988000,17352119000.0,73365000000.0,122278000000.0,38016000000.0,AAPL
2020-10-23,111.90145874023438,82572600,17352119000.0,73365000000.0,122278000000.0,38016000000.0,AAPL
2020-10-26,111.91118621826172,111850700,17352119000.0,73365000000.0,122278000000.0,38016000000.0,AAPL
2020-10-27,113.4188995361328,92276800,17352119000.0,73365000000.0,122278000000.0,38016000000.0,AAPL
2020-10-28,108.1662139892578,143937800,17352119000.0,73365000000.0,122278000000.0,38016000000.0,AAPL
2020-10-29,112.17382049560548,146129200,17352119000.0,73365000000.0,122278000000.0,38016000000.0,AAPL
2020-10-30,105.89005279541016,190272600,17352119000.0,73365000000.0,122278000000.0,38016000000.0,AAPL
2020-11-02,105.80249786376952,122866900,17352119000.0,73365000000.0,122278000000.0,38016000000.0,AAPL
2020-11-03,107.42694091796876,107624400,17352119000.0,73365000000.0,122278000000.0,38016000000.0,AAPL
2020-11-04,111.81391143798828,138235500,17352119000.0,73365000000.0,122278000000.0,38016000000.0,AAPL
2020-11-05,115.78260803222656,126387100,17352119000.0,73365000000.0,122278000000.0,38016000000.0,AAPL
2020-11-06,115.65106201171876,114457900,17352119000.0,73365000000.0,122278000000.0,38016000000.0,AAPL
2020-11-09,113.3417510986328,154515300,17352119000.0,73365000000.0,122278000000.0,38016000000.0,AAPL
2020-11-10,113.00069427490234,138023400,17352119000.0,73365000000.0,122278000000.0,38016000000.0,AAPL
2020-11-11,116.43058013916016,112295000,17352119000.0,73365000000.0,122278000000.0,38016000000.0,AAPL
2020-11-12,116.1577377319336,103162300,17352119000.0,73365000000.0,122278000000.0,38016000000.0,AAPL
2020-11-13,116.20646667480467,81581900,17352119000.0,73365000000.0,122278000000.0,38016000000.0,AAPL
2020-11-16,117.21983337402344,91183000,17352119000.0,73365000000.0,122278000000.0,38016000000.0,AAPL
2020-11-17,116.33314514160156,74271000,17352119000.0,73365000000.0,122278000000.0,38016000000.0,AAPL
2020-11-18,115.00796508789062,76322100,17352119000.0,73365000000.0,122278000000.0,38016000000.0,AAPL
2020-11-19,115.6023406982422,74113000,17352119000.0,73365000000.0,122278000000.0,38016000000.0,AAPL
2020-11-20,114.33561706542967,73604300,17352119000.0,73365000000.0,122278000000.0,38016000000.0,AAPL
2020-11-23,110.93499755859376,127959300,17352119000.0,73365000000.0,122278000000.0,38016000000.0,AAPL
2020-11-24,112.22118377685548,113874200,17352119000.0,73365000000.0,122278000000.0,38016000000.0,AAPL
2020-11-25,113.05916595458984,76499200,17352119000.0,73365000000.0,122278000000.0,38016000000.0,AAPL
2020-11-27,113.60481262207033,46691300,17352119000.0,73365000000.0,122278000000.0,38016000000.0,AAPL
2020-11-30,116.00184631347656,169410200,17352119000.0,73365000000.0,122278000000.0,38016000000.0,AAPL
2020-12-01,119.577880859375,127728200,17352119000.0,73365000000.0,122278000000.0,38016000000.0,AAPL
2020-12-02,119.9286651611328,89004200,17352119000.0,73365000000.0,122278000000.0,38016000000.0,AAPL
2020-12-03,119.79225158691406,78967600,17352119000.0,73365000000.0,122278000000.0,38016000000.0,AAPL
2020-12-04,119.11990356445312,78260400,17352119000.0,73365000000.0,122278000000.0,38016000000.0,AAPL
2020-12-07,120.58150482177734,86712000,17352119000.0,73365000000.0,122278000000.0,38016000000.0,AAPL
2020-12-08,121.19536590576172,82225500,17352119000.0,73365000000.0,122278000000.0,38016000000.0,AAPL
2020-12-09,118.66193389892578,115089200,17352119000.0,73365000000.0,122278000000.0,38016000000.0,AAPL
2020-12-10,120.08454132080078,81312200,17352119000.0,73365000000.0,122278000000.0,38016000000.0,AAPL
2020-12-11,119.27581024169922,86939800,17352119000.0,73365000000.0,122278000000.0,38016000000.0,AAPL
2020-12-14,118.66193389892578,79184500,17352119000.0,73365000000.0,122278000000.0,38016000000.0,AAPL
2020-12-15,124.6057586669922,157243700,17352119000.0,73365000000.0,122278000000.0,38016000000.0,AAPL
2020-12-16,124.5375518798828,98208600,17352119000.0,73365000000.0,122278000000.0,38016000000.0,AAPL
2020-12-17,125.40474700927734,94359800,17352119000.0,73365000000.0,122278000000.0,38016000000.0,AAPL
