date,close,volume,sharesOutstanding,freeCashFlow,totalDebt,cashAndCashEquivalents,symbol
2020-12-31,162.84649658203125,59144000,10000000000.0,25924000000.0,84389000000.0,42122000000.0,AMZN
2021-01-04,159.3314971923828,88228000,10000000000.0,25924000000.0,84389000000.0,42122000000.0,AMZN
2021-01-05,160.92550659179688,53110000,10000000000.0,25924000000.0,84389000000.0,42122000000.0,AMZN
2021-01-06,156.91900634765625,87896000,10000000000.0,25924000000.0,84389000000.0,42122000000.0,AMZN
2021-01-07,158.10800170898438,70290000,10000000000.0,25924000000.0,84389000000.0,42122000000.0,AMZN
2021-01-08,159.13499450683594,70754000,10000000000.0,25924000000.0,84389000000.0,42122000000.0,AMZN
2021-01-11,155.7104949951172,73668000,10000000000.0,25924000000.0,84389000000.0,42122000000.0,AMZN
2021-01-12,156.04150390625,70292000,10000000000.0,25924000000.0,84389000000.0,42122000000.0,AMZN
2021-01-13,158.29449462890625,66424000,10000000000.0,25924000000.0,84389000000.0,42122000000.0,AMZN
2021-01-14,156.37350463867188,61418000,10000000000.0,25924000000.0,84389000000.0,42122000000.0,AMZN
2021-01-15,155.21249389648438,84880000,10000000000.0,25924000000.0,84389000000.0,42122000000.0,AMZN
2021-01-19,156.03799438476562,66102000,10000000000.0,25924000000.0,84389000000.0,42122000000.0,AMZN
2021-01-20,163.16900634765625,106196000,10000000000.0,25924000000.0,84389000000.0,42122000000.0,AMZN
2021-01-21,165.34950256347656,98722000,10000000000.0,25924000000.0,84389000000.0,42122000000.0,AMZN
2021-01-22,164.6114959716797,56438000,10000000000.0,25924000000.0,84389000000.0,42122000000.0,AMZN
2021-01-25,164.6999969482422,74996000,10000000000.0,25924000000.0,84389000000.0,42122000000.0,AMZN
2021-01-26,166.30650329589844,59104000,10000000000.0,25924000000.0,84389000000.0,42122000000.0,AMZN
2021-01-27,161.62899780273438,93204000,10000000000.0,25924000000.0,84389000000.0,42122000000.0,AMZN
2021-01-28,161.88099670410156,62984000,10000000000.0,25924000000.0,84389000000.0,42122000000.0,AMZN
2021-01-29,160.30999755859375,85872000,10000000000.0,25924000000.0,84389000000.0,42122000000.0,AMZN
2021-02-01,167.1439971923828,83204000,10000000000.0,25924000000.0,84389000000.0,42122000000.0,AMZN
2021-02-02,169.0,141972000,10000000000.0,25924000000.0,84389000000.0,42122000000.0,AMZN
2021-02-03,165.62649536132812,141776000,10000000000.0,25924000000.0,84389000000.0,42122000000.0,AMZN
2021-02-04,166.5500030517578,73414000,10000000000.0,25924000000.0,84389000000.0,42122000000.0,AMZN
2021-02-05,167.6074981689453,72416000,10000000000.0,25924000000.0,84389000000.0,42122000000.0,AMZN
2021-02-08,166.14700317382812,65148000,10000000000.0,25924000000.0,84389000000.0,42122000000.0,AMZN
2021-02-09,165.25,44070000,10000000000.0,25924000000.0,84389000000.0,42122000000.0,AMZN
2021-02-10,164.32899475097656,63032000,10000000000.0,25924000000.0,84389000000.0,42122000000.0,AMZN
2021-02-11,163.10650634765625,46028000,10000000000.0,25924000000.0,84389000000.0,42122000000.0,AMZN
2021-02-12,163.885498046875,46706000,10000000000.0,25924000000.0,84389000000.0,42122000000.0,AMZN
2021-02-16,163.44749450683594,51494000,10000000000.0,25924000000.0,84389000000.0,42122000000.0,AMZN
2021-02-17,165.4320068359375,65950000,10000000000.0,25924000000.0,84389000000.0,42122000000.0,AMZN
2021-02-18,166.4114990234375,60548000,10000000000.0,25924000000.0,84389000000.0,42122000000.0,AMZN
2021-02-19,162.4949951171875,86104000,10000000000.0,25924000000.0,84389000000.0,42122000000.0,AMZN
2021-02-22,159.03700256347656,70314000,10000000000.0,25924000000.0,84389000000.0,42122000000.0,AMZN
2021-02-23,159.72500610351562,93544000,10000000000.0,25924000000.0,84389000000.0,42122000000.0,AMZN
2021-02-24,157.97650146484375,60226000,10000000000.0,25924000000.0,84389000000.0,42122000000.0,AMZN
2021-02-25,152.85800170898438,90676000,10000000000.0,25924000000.0,84389000000.0,42122000000.0,AMZN
2021-02-26,154.64649963378906,85518000,10000000000.0,25924000000.0,84389000000.0,42122000000.0,AMZN
