date,close,volume,sharesOutstanding,freeCashFlow,totalDebt,cashAndCashEquivalents,symbol
2020-12-31,271.66961669921875,12900400,2851000000.0,23632000000.0,10654000000.0,17576000000.0,META
2021-01-04,267.4726257324219,15106100,2851000000.0,23632000000.0,10654000000.0,17576000000.0,META
2021-01-05,269.49151611328125,9871600,2851000000.0,23632000000.0,10654000000.0,17576000000.0,META
2021-01-06,261.87335205078125,24354100,2851000000.0,23632000000.0,10654000000.0,17576000000.0,META
2021-01-07,267.273681640625,15789800,2851000000.0,23632000000.0,10654000000.0,17576000000.0,META
2021-01-08,266.110107421875,18528300,2851000000.0,23632000000.0,10654000000.0,17576000000.0,META
2021-01-11,255.4386444091797,30412300,2851000000.0,23632000000.0,10654000000.0,17576000000.0,META
2021-01-12,249.72003173828125,26383500,2851000000.0,23632000000.0,10654000000.0,17576000000.0,META
2021-01-13,250.2670135498047,19528900,2851000000.0,23632000000.0,10654000000.0,17576000000.0,META
2021-01-14,244.29977416992188,29739400,2851000000.0,23632000000.0,10654000000.0,17576000000.0,META
2021-01-15,249.98855590820312,24942900,2851000000.0,23632000000.0,10654000000.0,17576000000.0,META
2021-01-19,259.6754150390625,28028500,2851000000.0,23632000000.0,10654000000.0,17576000000.0,META
2021-01-20,266.0205993652344,25199900,2851000000.0,23632000000.0,10654000000.0,17576000000.0,META
2021-01-21,271.38116455078125,20838700,2851000000.0,23632000000.0,10654000000.0,17576000000.0,META
2021-01-22,273.0022888183594,21954000,2851000000.0,23632000000.0,10654000000.0,17576000000.0,META
2021-01-25,276.4931640625,19087000,2851000000.0,23632000000.0,10654000000.0,17576000000.0,META
2021-01-26,280.5110778808594,19373600,2851000000.0,23632000000.0,10654000000.0,17576000000.0,META
2021-01-27,270.6551513671875,35346200,2851000000.0,23632000000.0,10654000000.0,17576000000.0,META
2021-01-28,263.5541076660156,37758800,2851000000.0,23632000000.0,10654000000.0,17576000000.0,META
2021-01-29,256.9205017089844,30389500,2851000000.0,23632000000.0,10654000000.0,17576000000.0,META
2021-02-01,260.5804138183594,22914300,2851000000.0,23632000000.0,10654000000.0,17576000000.0,META
2021-02-02,265.6227722167969,17320800,2851000000.0,23632000000.0,10654000000.0,17576000000.0,META
2021-02-03,265.19512939453125,14223400,2851000000.0,23632000000.0,10654000000.0,17576000000.0,META
2021-02-04,265.0359802246094,16060000,2851000000.0,23632000000.0,10654000000.0,17576000000.0,META
2021-02-05,266.6372375488281,12454400,2851000000.0,23632000000.0,10654000000.0,17576000000.0,META
2021-02-08,265.1254577636719,13755200,2851000000.0,23632000000.0,10654000000.0,17576000000.0,META
2021-02-09,267.9798278808594,14613400,2851000000.0,23632000000.0,10654000000.0,17576000000.0,META
2021-02-10,270.3866271972656,14687200,2851000000.0,23632000000.0,10654000000.0,17576000000.0,META
2021-02-11,268.91473388671875,12828600,2851000000.0,23632000000.0,10654000000.0,17576000000.0,META
2021-02-12,269.0241394042969,9097600,2851000000.0,23632000000.0,10654000000.0,17576000000.0,META
2021-02-16,272.4751281738281,15417200,2851000000.0,23632000000.0,10654000000.0,17576000000.0,META
2021-02-17,272.077392578125,12763200,2851000000.0,23632000000.0,10654000000.0,17576000000.0,META
2021-02-18,267.920166015625,15249100,2851000000.0,23632000000.0,10654000000.0,17576000000.0,META
2021-02-19,260.1329345703125,25622600,2851000000.0,23632000000.0,10654000000.0,17576000000.0,META
2021-02-22,258.9095764160156,17434900,2851000000.0,23632000000.0,10654000000.0,17576000000.0,META
2021-02-23,264.4093933105469,21924600,2851000000.0,23632000000.0,10654000000.0,17576000000.0,META
2021-02-24,262.8678894042969,15736100,2851000000.0,23632000000.0,10654000000.0,17576000000.0,META
2021-02-25,253.3003692626953,19053100,2851000000.0,23632000000.0,10654000000.0,17576000000.0,META
2021-02-26,256.2143859863281,26619500,2851000000.0,23632000000.0,10654000000.0,17576000000.0,META
2021-03-01,263.464599609375,22157300,2851000000.0,23632000000.0,10654000000.0,17576000000.0,META
2021-03-02,257.5868835449219,15191700,2851000000.0,23632000000.0,10654000000.0,17576000000.0,META
2021-03-03,254.01644897460935,15513500,2851000000.0,23632000000.0,10654000000.0,17576000000.0,META
