date,close,volume,sharesOutstanding,freeCashFlow,totalDebt,cashAndCashEquivalents,symbol
2021-06-30,262.0584411621094,21656500,7547000000.0,56118000000.0,67775000000.0,14224000000.0,MSFT
2021-07-01,262.735595703125,16725300,7547000000.0,56118000000.0,67775000000.0,14224000000.0,MSFT
2021-07-02,268.58819580078125,26458000,7547000000.0,56118000000.0,67775000000.0,14224000000.0,MSFT
2021-07-06,268.5978088378906,31565600,7547000000.0,56118000000.0,67775000000.0,14224000000.0,MSFT
2021-07-07,270.793701171875,23260000,7547000000.0,56118000000.0,67775000000.0,14224000000.0,MSFT
2021-07-08,268.3656921386719,24618600,7547000000.0,56118000000.0,67775000000.0,14224000000.0,MSFT
2021-07-09,268.8686828613281,23916700,7547000000.0,56118000000.0,67775000000.0,14224000000.0,MSFT
2021-07-12,268.2689208984375,18931700,7547000000.0,56118000000.0,67775000000.0,14224000000.0,MSFT
2021-07-13,271.80950927734375,26120100,7547000000.0,56118000000.0,67775000000.0,14224000000.0,MSFT
2021-07-14,273.2895812988281,23113700,7547000000.0,56118000000.0,67775000000.0,14224000000.0,MSFT
2021-07-15,271.85784912109375,22604200,7547000000.0,56118000000.0,67775000000.0,14224000000.0,MSFT
2021-07-16,271.5869445800781,26186800,7547000000.0,56118000000.0,67775000000.0,14224000000.0,MSFT
2021-07-19,267.968994140625,32935600,7547000000.0,56118000000.0,67775000000.0,14224000000.0,MSFT
2021-07-20,270.2037048339844,26259700,7547000000.0,56118000000.0,67775000000.0,14224000000.0,MSFT
2021-07-21,272.2157897949219,24364300,7547000000.0,56118000000.0,67775000000.0,14224000000.0,MSFT
2021-07-22,276.80108642578125,23384100,7547000000.0,56118000000.0,67775000000.0,14224000000.0,MSFT
2021-07-23,280.2159118652344,22768100,7547000000.0,56118000000.0,67775000000.0,14224000000.0,MSFT
2021-07-26,279.6160888671875,23176100,7547000000.0,56118000000.0,67775000000.0,14224000000.0,MSFT
2021-07-27,277.1879577636719,33604100,7547000000.0,56118000000.0,67775000000.0,14224000000.0,MSFT
2021-07-28,276.87847900390625,33566900,7547000000.0,56118000000.0,67775000000.0,14224000000.0,MSFT
2021-07-29,277.14935302734375,18168300,7547000000.0,56118000000.0,67775000000.0,14224000000.0,MSFT
2021-07-30,275.6112365722656,20944800,7547000000.0,56118000000.0,67775000000.0,14224000000.0,MSFT
2021-08-02,275.5241394042969,16267400,7547000000.0,56118000000.0,67775000000.0,14224000000.0,MSFT
2021-08-03,277.74908447265625,17879000,7547000000.0,56118000000.0,67775000000.0,14224000000.0,MSFT
2021-08-04,277.1589660644531,16191300,7547000000.0,56118000000.0,67775000000.0,14224000000.0,MSFT
2021-08-05,280.0707702636719,13900200,7547000000.0,56118000000.0,67775000000.0,14224000000.0,MSFT
