date,close,volume,sharesOutstanding,freeCashFlow,totalDebt,cashAndCashEquivalents,symbol
2021-02-01,13.2013578414917,217204000,24680000000.0,4694000000.0,7718000000.0,847000000.0,NVDA
2021-02-02,13.52024745941162,220440000,24680000000.0,4694000000.0,7718000000.0,847000000.0,NVDA
2021-02-03,13.49406909942627,245408000,24680000000.0,4694000000.0,7718000000.0,847000000.0,NVDA
2021-02-04,13.62745761871338,201340000,24680000000.0,4694000000.0,7718000000.0,847000000.0,NVDA
2021-02-05,13.554403305053713,169152000,24680000000.0,4694000000.0,7718000000.0,847000000.0,NVDA
2021-02-08,14.399872779846191,434624000,24680000000.0,4694000000.0,7718000000.0,847000000.0,NVDA
2021-02-09,14.224844932556152,287560000,24680000000.0,4694000000.0,7718000000.0,847000000.0,NVDA
2021-02-10,14.724495887756348,485352000,24680000000.0,4694000000.0,7718000000.0,847000000.0,NVDA
2021-02-11,15.209683418273926,450828000,24680000000.0,4694000000.0,7718000000.0,847000000.0,NVDA
2021-02-12,14.920966148376465,374756000,24680000000.0,4694000000.0,7718000000.0,847000000.0,NVDA
2021-02-16,15.288972854614258,321960000,24680000000.0,4694000000.0,7718000000.0,847000000.0,NVDA
2021-02-17,14.86586570739746,274756000,24680000000.0,4694000000.0,7718000000.0,847000000.0,NVDA
2021-02-18,14.789071083068848,233868000,24680000000.0,4694000000.0,7718000000.0,847000000.0,NVDA
2021-02-19,14.886308670043944,271724000,24680000000.0,4694000000.0,7718000000.0,847000000.0,NVDA
2021-02-22,14.317097663879396,325884000,24680000000.0,4694000000.0,7718000000.0,847000000.0,NVDA
2021-02-23,14.103921890258787,391780000,24680000000.0,4694000000.0,7718000000.0,847000000.0,NVDA
2021-02-24,14.4599609375,448320000,24680000000.0,4694000000.0,7718000000.0,847000000.0,NVDA
2021-02-25,13.271669387817385,824436000,24680000000.0,4694000000.0,7718000000.0,847000000.0,NVDA
2021-02-26,13.677573204040527,500932000,24680000000.0,4694000000.0,7718000000.0,847000000.0,NVDA
2021-03-01,13.804481506347656,353184000,24680000000.0,4694000000.0,7718000000.0,847000000.0,NVDA
2021-03-02,13.370152473449709,264116000,24680000000.0,4694000000.0,7718000000.0,847000000.0,NVDA
2021-03-03,12.770270347595217,377592000,24680000000.0,4694000000.0,7718000000.0,847000000.0,NVDA
2021-03-04,12.336942672729492,573344000,24680000000.0,4694000000.0,7718000000.0,847000000.0,NVDA
2021-03-05,12.427946090698242,542840000,24680000000.0,4694000000.0,7718000000.0,847000000.0,NVDA
2021-03-08,11.562034606933594,543112000,24680000000.0,4694000000.0,7718000000.0,847000000.0,NVDA
2021-03-09,12.490848541259766,521824000,24680000000.0,4694000000.0,7718000000.0,847000000.0,NVDA
2021-03-10,12.438971519470217,384376000,24680000000.0,4694000000.0,7718000000.0,847000000.0,NVDA
2021-03-11,12.962986946105955,299916000,24680000000.0,4694000000.0,7718000000.0,847000000.0,NVDA
2021-03-12,12.825811386108398,243964000,24680000000.0,4694000000.0,7718000000.0,847000000.0,NVDA
2021-03-15,13.160274505615234,221988000,24680000000.0,4694000000.0,7718000000.0,847000000.0,NVDA
2021-03-16,13.260039329528809,272128000,24680000000.0,4694000000.0,7718000000.0,847000000.0,NVDA
2021-03-17,13.30992031097412,243864000,24680000000.0,4694000000.0,7718000000.0,847000000.0,NVDA
2021-03-18,12.692622184753418,293896000,24680000000.0,4694000000.0,7718000000.0,847000000.0,NVDA
2021-03-19,12.815582275390623,299208000,24680000000.0,4694000000.0,7718000000.0,847000000.0,NVDA
2021-03-22,13.155285835266112,297804000,24680000000.0,4694000000.0,7718000000.0,847000000.0,NVDA
2021-03-23,13.04005527496338,222048000,24680000000.0,4694000000.0,7718000000.0,847000000.0,NVDA
2021-03-24,12.613308906555176,245840000,24680000000.0,4694000000.0,7718000000.0,847000000.0,NVDA
2021-03-25,12.505812644958496,295144000,24680000000.0,4694000000.0,7718000000.0,847000000.0,NVDA
2021-03-26,12.809100151062012,363968000,24680000000.0,4694000000.0,7718000000.0,847000000.0,NVDA
2021-03-29,12.917844772338867,273520000,24680000000.0,4694000000.0,7718000000.0,847000000.0,NVDA
2021-03-30,12.84152126312256,200204000,24680000000.0,4694000000.0,7718000000.0,847000000.0,NVDA
2021-03-31,13.316905975341797,314776000,24680000000.0,4694000000.0,7718000000.0,847000000.0,NVDA
2021-04-01,13.779315948486328,308276000,24680000000.0,4694000000.0,7718000000.0,847000000.0,NVDA
2021-04-05,13.9546537399292,255672000,24680000000.0,4694000000.0,7718000000.0,847000000.0,NVDA
2021-04-06,13.82894802093506,191744000,24680000000.0,4694000000.0,7718000000.0,847000000.0,NVDA
2021-04-07,14.110286712646484,251284000,24680000000.0,4694000000.0,7718000000.0,847000000.0,NVDA
2021-04-08,14.283379554748535,244416000,24680000000.0,4694000000.0,7718000000.0,847000000.0,NVDA
2021-04-09,14.36618423461914,195172000,24680000000.0,4694000000.0,7718000000.0,847000000.0,NVDA
2021-04-12,15.173285484313965,869324000,24680000000.0,4694000000.0,7718000000.0,847000000.0,NVDA
2021-04-13,15.642678260803224,676212000,24680000000.0,4694000000.0,7718000000.0,847000000.0,NVDA
2021-04-14,15.241125106811523,385500000,24680000000.0,4694000000.0,7718000000.0,847000000.0,NVDA
2021-04-15,16.099355697631836,598480000,24680000000.0,4694000000.0,7718000000.0,847000000.0,NVDA
2021-04-16,15.87513256072998,335208000,24680000000.0,4694000000.0,7718000000.0,847000000.0,NVDA
2021-04-19,15.325676918029783,404420000,24680000000.0,4694000000.0,7718000000.0,847000000.0,NVDA
2021-04-20,15.135624885559082,334132000,24680000000.0,4694000000.0,7718000000.0,847000000.0,NVDA
2021-04-21,15.324429512023926,216776000,24680000000.0,4694000000.0,7718000000.0,847000000.0,NVDA
2021-04-22,14.81537628173828,277788000,24680000000.0,4694000000.0,7718000000.0,847000000.0,NVDA
2021-04-23,15.229402542114258,227500000,24680000000.0,4694000000.0,7718000000.0,847000000.0,NVDA
2021-04-26,15.441651344299316,197796000,24680000000.0,4694000000.0,7718000000.0,847000000.0,NVDA
2021-04-27,15.34562873840332,164572000,24680000000.0,4694000000.0,7718000000.0,847000000.0,NVDA
2021-04-28,15.24087619781494,209416000,24680000000.0,4694000000.0,7718000000.0,847000000.0,NVDA
2021-04-29,15.288763046264648,173196000,24680000000.0,4694000000.0,7718000000.0,847000000.0,NVDA
2021-04-30,14.974251747131348,201912000,24680000000.0,4694000000.0,7718000000.0,847000000.0,NVDA
2021-05-03,14.801908493041992,203912000,24680000000.0,4694000000.0,7718000000.0,847000000.0,NVDA
2021-05-04,14.317547798156738,405324000,24680000000.0,4694000000.0,7718000000.0,847000000.0,NVDA
2021-05-05,14.424546241760254,292024000,24680000000.0,4694000000.0,7718000000.0,847000000.0,NVDA
2021-05-06,14.48889446258545,193380000,24680000000.0,4694000000.0,7718000000.0,847000000.0,NVDA
2021-05-07,14.7774658203125,229328000,24680000000.0,4694000000.0,7718000000.0,847000000.0,NVDA
2021-05-10,14.232250213623049,268904000,24680000000.0,4694000000.0,7718000000.0,847000000.0,NVDA
2021-05-11,14.27265453338623,285584000,24680000000.0,4694000000.0,7718000000.0,847000000.0,NVDA
2021-05-12,13.726189613342283,303408000,24680000000.0,4694000000.0,7718000000.0,847000000.0,NVDA
2021-05-13,13.633159637451172,285404000,24680000000.0,4694000000.0,7718000000.0,847000000.0,NVDA
2021-05-14,14.209553718566896,258616000,24680000000.0,4694000000.0,7718000000.0,847000000.0,NVDA
2021-05-17,14.132234573364258,216980000,24680000000.0,4694000000.0,7718000000.0,847000000.0,NVDA
2021-05-18,13.98283576965332,186256000,24680000000.0,4694000000.0,7718000000.0,847000000.0,NVDA
2021-05-19,14.032719612121582,344000000,24680000000.0,4694000000.0,7718000000.0,847000000.0,NVDA
2021-05-20,14.578185081481934,321592000,24680000000.0,4694000000.0,7718000000.0,847000000.0,NVDA
2021-05-21,14.95654582977295,672992000,24680000000.0,4694000000.0,7718000000.0,847000000.0,NVDA
2021-05-24,15.575337409973145,554816000,24680000000.0,4694000000.0,7718000000.0,847000000.0,NVDA
2021-05-25,15.611004829406738,435408000,24680000000.0,4694000000.0,7718000000.0,847000000.0,NVDA
2021-05-26,15.663130760192873,370440000,24680000000.0,4694000000.0,7718000000.0,847000000.0,NVDA
2021-05-27,15.451627731323242,581476000,24680000000.0,4694000000.0,7718000000.0,847000000.0,NVDA
2021-05-28,16.20635223388672,644536000,24680000000.0,4694000000.0,7718000000.0,847000000.0,NVDA
2021-06-01,16.226306915283203,472804000,24680000000.0,4694000000.0,7718000000.0,847000000.0,NVDA
2021-06-02,16.738849639892578,594168000,24680000000.0,4694000000.0,7718000000.0,847000000.0,NVDA
2021-06-03,16.929903030395508,580008000,24680000000.0,4694000000.0,7718000000.0,847000000.0,NVDA
2021-06-04,17.53697395324707,617120000,24680000000.0,4694000000.0,7718000000.0,847000000.0,NVDA
2021-06-07,17.577627182006836,575756000,24680000000.0,4694000000.0,7718000000.0,847000000.0,NVDA
2021-06-08,17.416004180908203,323848000,24680000000.0,4694000000.0,7718000000.0,847000000.0,NVDA
2021-06-09,17.32145881652832,381656000,24680000000.0,4694000000.0,7718000000.0,847000000.0,NVDA
2021-06-10,17.388065338134766,287772000,24680000000.0,4694000000.0,7718000000.0,847000000.0,NVDA
2021-06-11,17.78746795654297,416308000,24680000000.0,4694000000.0,7718000000.0,847000000.0,NVDA
2021-06-14,17.980558395385742,321376000,24680000000.0,4694000000.0,7718000000.0,847000000.0,NVDA
2021-06-15,17.75079345703125,243032000,24680000000.0,4694000000.0,7718000000.0,847000000.0,NVDA
2021-06-16,17.772499084472656,307124000,24680000000.0,4694000000.0,7718000000.0,847000000.0,NVDA
2021-06-17,18.61770248413086,809656000,24680000000.0,4694000000.0,7718000000.0,847000000.0,NVDA
2021-06-18,18.5992431640625,968856000,24680000000.0,4694000000.0,7718000000.0,847000000.0,NVDA
2021-06-21,18.3881893157959,672384000,24680000000.0,4694000000.0,7718000000.0,847000000.0,NVDA
2021-06-22,18.84671401977539,580144000,24680000000.0,4694000000.0,7718000000.0,847000000.0,NVDA
2021-06-23,19.0168514251709,332356000,24680000000.0,4694000000.0,7718000000.0,847000000.0,NVDA
2021-06-24,19.1647891998291,320924000,24680000000.0,4694000000.0,7718000000.0,847000000.0,NVDA
2021-06-25,18.990663528442383,278364000,24680000000.0,4694000000.0,7718000000.0,847000000.0,NVDA
2021-06-28,19.942638397216797,495436000,24680000000.0,4694000000.0,7718000000.0,847000000.0,NVDA
2021-06-29,19.98430061340332,367632000,24680000000.0,4694000000.0,7718000000.0,847000000.0,NVDA
2021-06-30,19.960100173950195,326568000,24680000000.0,4694000000.0,7718000000.0,847000000.0,NVDA
2021-07-01,20.169160842895508,480136000,24680000000.0,4694000000.0,7718000000.0,847000000.0,NVDA
2021-07-02,20.44357109069824,342764000,24680000000.0,4694000000.0,7718000000.0,847000000.0,NVDA
2021-07-06,20.65462875366211,446708000,24680000000.0,4694000000.0,7718000000.0,847000000.0,NVDA
2021-07-07,20.32857131958008,418428000,24680000000.0,4694000000.0,7718000000.0,847000000.0,NVDA
2021-07-08,19.86056137084961,503300000,24680000000.0,4694000000.0,7718000000.0,847000000.0,NVDA
2021-07-09,20.00775146484375,296624000,24680000000.0,4694000000.0,7718000000.0,847000000.0,NVDA
2021-07-12,20.469018936157227,321984000,24680000000.0,4694000000.0,7718000000.0,847000000.0,NVDA
2021-07-13,20.20707321166992,290708000,24680000000.0,4694000000.0,7718000000.0,847000000.0,NVDA
2021-07-14,19.7994441986084,380100000,24680000000.0,4694000000.0,7718000000.0,847000000.0,NVDA
2021-07-15,18.926050186157227,550564000,24680000000.0,4694000000.0,7718000000.0,847000000.0,NVDA
2021-07-16,18.122501373291016,688224000,24680000000.0,4694000000.0,7718000000.0,847000000.0,NVDA
2021-07-19,18.73994255065918,749060000,24680000000.0,4694000000.0,7718000000.0,847000000.0,NVDA
2021-07-20,18.572546005249023,434687000,24680000000.0,4694000000.0,7718000000.0,847000000.0,NVDA
