date,close,volume,pe_ratio,eps,beta
2024-06-20 00:00:00-04:00,130.73870849609375,517768400,46.92903,3.1,2.122
2024-06-21 00:00:00-04:00,126.53002166748047,655484700,46.92903,3.1,2.122
2024-06-24 00:00:00-04:00,118.07270050048828,476060900,46.92903,3.1,2.122
2024-06-25 00:00:00-04:00,126.05017852783203,425787500,46.92903,3.1,2.122
2024-06-26 00:00:00-04:00,126.3600845336914,362975900,46.92903,3.1,2.122
2024-06-27 00:00:00-04:00,123.95083618164062,252571700,46.92903,3.1,2.122
2024-06-28 00:00:00-04:00,123.50099182128906,315516700,46.92903,3.1,2.122
2024-07-01 00:00:00-04:00,124.26075744628906,284885500,46.92903,3.1,2.122
2024-07-02 00:00:00-04:00,122.63125610351562,218374000,46.92903,3.1,2.122
2024-07-03 00:00:00-04:00,128.23948669433594,215749000,46.92903,3.1,2.122
2024-07-05 00:00:00-04:00,125.79026794433594,214176700,46.92903,3.1,2.122
2024-07-08 00:00:00-04:00,128.1595001220703,237677300,46.92903,3.1,2.122
2024-07-09 00:00:00-04:00,131.33851623535156,285366600,46.92903,3.1,2.122
2024-07-10 00:00:00-04:00,134.86740112304688,248978600,46.92903,3.1,2.122
2024-07-11 00:00:00-04:00,127.35977172851562,374782700,46.92903,3.1,2.122
2024-07-12 00:00:00-04:00,129.19920349121094,252680500,46.92903,3.1,2.122
2024-07-15 00:00:00-04:00,128.39944458007812,208326200,46.92903,3.1,2.122
2024-07-16 00:00:00-04:00,126.32009887695312,214769500,46.92903,3.1,2.122
2024-07-17 00:00:00-04:00,117.9527359008789,390086200,46.92903,3.1,2.122
2024-07-18 00:00:00-04:00,121.0517578125,320979500,46.92903,3.1,2.122
2024-07-19 00:00:00-04:00,117.89275360107422,217223800,46.92903,3.1,2.122
2024-07-22 00:00:00-04:00,123.50099182128906,258068900,46.92903,3.1,2.122
2024-07-23 00:00:00-04:00,122.55127716064453,173911000,46.92903,3.1,2.122
2024-07-24 00:00:00-04:00,114.21391296386719,327776900,46.92903,3.1,2.122
2024-07-25 00:00:00-04:00,112.2445297241211,460067000,46.92903,3.1,2.122
2024-07-26 00:00:00-04:00,113.0242919921875,293399100,46.92903,3.1,2.122
2024-07-29 00:00:00-04:00,111.55474853515625,248152100,46.92903,3.1,2.122
2024-07-30 00:00:00-04:00,103.6972427368164,486833300,46.92903,3.1,2.122
2024-07-31 00:00:00-04:00,116.9830322265625,473174200,46.92903,3.1,2.122
2024-08-01 00:00:00-04:00,109.1755142211914,523462300,46.92903,3.1,2.122
2024-08-02 00:00:00-04:00,107.23612213134766,482027500,46.92903,3.1,2.122
2024-08-05 00:00:00-04:00,100.41827392578125,552842400,46.92903,3.1,2.122
2024-08-06 00:00:00-04:00,104.21707153320312,409012100,46.92903,3.1,2.122
2024-08-07 00:00:00-04:00,98.87876892089844,411440400,46.92903,3.1,2.122
2024-08-08 00:00:00-04:00,104.93685150146484,391910000,46.92903,3.1,2.122
2024-08-09 00:00:00-04:00,104.7169189453125,290844200,46.92903,3.1,2.122
2024-08-12 00:00:00-04:00,108.9855728149414,325559900,46.92903,3.1,2.122
2024-08-13 00:00:00-04:00,116.10331726074219,312646700,46.92903,3.1,2.122
2024-08-14 00:00:00-04:00,118.04270935058594,339246400,46.92903,3.1,2.122
2024-08-15 00:00:00-04:00,122.82120513916016,318086700,46.92903,3.1,2.122
2024-08-16 00:00:00-04:00,124.54065704345703,302589900,46.92903,3.1,2.122
2024-08-19 00:00:00-04:00,129.95892333984375,318333600,46.92903,3.1,2.122
2024-08-20 00:00:00-04:00,127.2098159790039,300087400,46.92903,3.1,2.122
2024-08-21 00:00:00-04:00,128.45941162109375,257883600,46.92903,3.1,2.122
2024-08-22 00:00:00-04:00,123.70092010498047,376189100,46.92903,3.1,2.122
2024-08-23 00:00:00-04:00,129.32913208007812,323230300,46.92903,3.1,2.122
2024-08-26 00:00:00-04:00,126.42005920410156,331964700,46.92903,3.1,2.122
2024-08-27 00:00:00-04:00,128.25949096679688,303134600,46.92903,3.1,2.122
2024-08-28 00:00:00-04:00,125.5703353881836,448101100,46.92903,3.1,2.122
2024-08-29 00:00:00-04:00,117.5528564453125,453023300,46.92903,3.1,2.122
2024-08-30 00:00:00-04:00,119.33230590820312,333751600,46.92903,3.1,2.122
2024-09-03 00:00:00-04:00,107.96588897705078,477155100,46.92903,3.1,2.122
2024-09-04 00:00:00-04:00,106.17645263671875,372470300,46.92903,3.1,2.122
2024-09-05 00:00:00-04:00,107.17613983154297,306850700,46.92903,3.1,2.122
2024-09-06 00:00:00-04:00,102.79752349853516,413638100,46.92903,3.1,2.122
2024-09-09 00:00:00-04:00,106.43638610839844,273912000,46.92903,3.1,2.122
2024-09-10 00:00:00-04:00,108.06585693359375,268283700,46.92903,3.1,2.122
2024-09-11 00:00:00-04:00,116.87308502197266,441422400,46.92903,3.1,2.122
2024-09-12 00:00:00-04:00,119.11256408691406,367100500,46.92903,3.1,2.122
2024-09-13 00:00:00-04:00,119.07257080078125,238358300,46.92903,3.1,2.122
2024-09-16 00:00:00-04:00,116.75310516357422,248772300,46.92903,3.1,2.122
2024-09-17 00:00:00-04:00,115.5633773803711,231925900,46.92903,3.1,2.122
2024-09-18 00:00:00-04:00,113.34388732910156,310318900,46.92903,3.1,2.122
2024-09-19 00:00:00-04:00,117.84285736083984,293506400,46.92903,3.1,2.122
2024-09-20 00:00:00-04:00,115.9732894897461,382462400,46.92903,3.1,2.122
2024-09-23 00:00:00-04:00,116.23323059082031,206228500,46.92903,3.1,2.122
2024-09-24 00:00:00-04:00,120.84217071533203,354966800,46.92903,3.1,2.122
2024-09-25 00:00:00-04:00,123.48155975341797,284692900,46.92903,3.1,2.122
2024-09-26 00:00:00-04:00,124.01143646240234,302582900,46.92903,3.1,2.122
2024-09-27 00:00:00-04:00,121.3720474243164,271009200,46.92903,3.1,2.122
2024-09-30 00:00:00-04:00,121.41203308105469,226553700,46.92903,3.1,2.122
2024-10-01 00:00:00-04:00,116.97306060791016,302094500,46.92903,3.1,2.122
2024-10-02 00:00:00-04:00,118.82262420654297,221845900,46.92903,3.1,2.122
2024-10-03 00:00:00-04:00,122.82170867919922,277118000,46.92903,3.1,2.122
2024-10-04 00:00:00-04:00,124.89122772216797,243678100,46.92903,3.1,2.122
2024-10-07 00:00:00-04:00,127.69058990478516,346250200,46.92903,3.1,2.122
2024-10-08 00:00:00-04:00,132.85939025878906,285722500,46.92903,3.1,2.122
2024-10-09 00:00:00-04:00,132.6194305419922,246191600,46.92903,3.1,2.122
2024-10-10 00:00:00-04:00,134.77894592285156,242311300,46.92903,3.1,2.122
2024-10-11 00:00:00-04:00,134.7689666748047,170209500,46.92903,3.1,2.122
2024-10-14 00:00:00-04:00,138.03822326660156,232347700,46.92903,3.1,2.122
2024-10-15 00:00:00-04:00,131.5697021484375,377831000,46.92903,3.1,2.122
2024-10-16 00:00:00-04:00,135.68873596191406,264879700,46.92903,3.1,2.122
2024-10-17 00:00:00-04:00,136.89846801757812,306435900,46.92903,3.1,2.122
2024-10-18 00:00:00-04:00,137.9682159423828,176090200,46.92903,3.1,2.122
2024-10-21 00:00:00-04:00,143.67691040039062,264554500,46.92903,3.1,2.122
2024-10-22 00:00:00-04:00,143.55694580078125,226311600,46.92903,3.1,2.122
2024-10-23 00:00:00-04:00,139.52786254882812,285930000,46.92903,3.1,2.122
2024-10-24 00:00:00-04:00,140.37767028808594,172354900,46.92903,3.1,2.122
2024-10-25 00:00:00-04:00,141.5074005126953,205122100,46.92903,3.1,2.122
2024-10-28 00:00:00-04:00,140.48765563964844,173586700,46.92903,3.1,2.122
2024-10-29 00:00:00-04:00,141.21746826171875,157593600,46.92903,3.1,2.122
2024-10-30 00:00:00-04:00,139.3079071044922,179418100,46.92903,3.1,2.122
2024-10-31 00:00:00-04:00,132.72943115234375,270039600,46.92903,3.1,2.122
2024-11-01 00:00:00-04:00,135.3688201904297,207127800,46.92903,3.1,2.122
2024-11-04 00:00:00-05:00,136.0186767578125,187528200,46.92903,3.1,2.122
2024-11-05 00:00:00-05:00,139.87777709960938,160537400,46.92903,3.1,2.122
2024-11-06 00:00:00-05:00,145.5764617919922,242043900,46.92903,3.1,2.122
2024-11-07 00:00:00-05:00,148.84573364257812,207323300,46.92903,3.1,2.122
2024-11-08 00:00:00-05:00,147.5959930419922,175665800,46.92903,3.1,2.122
2024-11-11 00:00:00-05:00,145.22653198242188,182325600,46.92903,3.1,2.122
2024-11-12 00:00:00-05:00,148.25582885742188,198634700,46.92903,3.1,2.122
2024-11-13 00:00:00-05:00,146.23631286621094,191903300,46.92903,3.1,2.122
2024-11-14 00:00:00-05:00,146.72618103027344,194463300,46.92903,3.1,2.122
2024-11-15 00:00:00-05:00,141.94729614257812,250132900,46.92903,3.1,2.122
2024-11-18 00:00:00-05:00,140.11770629882812,221866000,46.92903,3.1,2.122
2024-11-19 00:00:00-05:00,146.97613525390625,227834900,46.92903,3.1,2.122
2024-11-20 00:00:00-05:00,145.8563995361328,309871700,46.92903,3.1,2.122
2024-11-21 00:00:00-05:00,146.63623046875,400946600,46.92903,3.1,2.122
2024-11-22 00:00:00-05:00,141.91729736328125,236406200,46.92903,3.1,2.122
2024-11-25 00:00:00-05:00,135.98867797851562,344941900,46.92903,3.1,2.122
2024-11-26 00:00:00-05:00,136.8884735107422,190287700,46.92903,3.1,2.122
2024-11-27 00:00:00-05:00,135.30882263183594,226370900,46.92903,3.1,2.122
2024-11-29 00:00:00-05:00,138.21817016601562,141863200,46.92903,3.1,2.122
2024-12-02 00:00:00-05:00,138.5980682373047,171682800,46.92903,3.1,2.122
2024-12-03 00:00:00-05:00,140.2277069091797,164414000,46.92903,3.1,2.122
2024-12-04 00:00:00-05:00,145.10658264160156,231224300,46.92903,3.1,2.122
2024-12-05 00:00:00-05:00,145.03659057617188,172621200,46.92903,3.1,2.122
2024-12-06 00:00:00-05:00,142.41700744628906,188505600,46.92903,3.1,2.122
2024-12-09 00:00:00-05:00,138.78758239746094,189308600,46.92903,3.1,2.122
2024-12-10 00:00:00-05:00,135.04820251464844,210020900,46.92903,3.1,2.122
2024-12-11 00:00:00-05:00,139.28750610351562,184905200,46.92903,3.1,2.122
2024-12-12 00:00:00-05:00,137.3178253173828,159211400,46.92903,3.1,2.122
2024-12-13 00:00:00-05:00,134.22833251953125,231514900,46.92903,3.1,2.122
2024-12-16 00:00:00-05:00,131.9786834716797,237951100,46.92903,3.1,2.122
2024-12-17 00:00:00-05:00,130.36895751953125,259410300,46.92903,3.1,2.122
2024-12-18 00:00:00-05:00,128.88919067382812,277444500,46.92903,3.1,2.122
2024-12-19 00:00:00-05:00,130.6588897705078,209719200,46.92903,3.1,2.122
2024-12-20 00:00:00-05:00,134.67825317382812,306528600,46.92903,3.1,2.122
2024-12-23 00:00:00-05:00,139.64744567871094,176053500,46.92903,3.1,2.122
2024-12-24 00:00:00-05:00,140.19737243652344,105157000,46.92903,3.1,2.122
2024-12-26 00:00:00-05:00,139.90740966796875,116205600,46.92903,3.1,2.122
